,Country,IQ,MB/sec
0,Argentina,93,4.2
1,Bolivia,87,1.8
2,Canada,99,11.9
3,Chile,90,5.7
4,Colombia,84,4.2
5,Ecuador,88,4.1
6,Mexico,88,5.5
7,Panama,84,3.5
8,Paraguay,84,1.5
9,Peru,85,4.4
10,Uruguay,96,5.9
11,Venezuela,84,1.5
12,Australia,98,7.8
13,China,105,3.7
14,India,82,2.5
15,Indonesia,87,7.45
16,Japan,105,15.0
17,Malaysia,92,4.9
18,Philippines,86,2.8
19,Singapore,108,12.5
20,Taiwan,104,10.1
21,Thailand,91,8.2
22,Vietnam,94,3.4
23,Austria,100,11.4
24,Belgium,99,12.8
25,Denmark,98,14.0
26,Finland,99,14.8
27,France,98,8.2
28,Germany,99,11.5
29,Hungary,98,10.7
30,Ireland,92,12.4
31,Israel,95,11.2
32,Italy,102,6.5
33,Netherlands,100,15.6
34,Norway,100,16.4
35,Poland,99,10.6
36,Portugal,95,10.6
37,Romania,94,13.1
38,Russia,97,10.2
39,Slovakia,96,11.2
40,Spain,98,10.4
41,Sweden,99,17.4
42,Switzerland,101,16.2
43,Turkey,90,6.2
