,rotten_tomatoes,IMDB,meta_critic,fandango
0,4.3,3.9,3.3,4.5
1,4.0,3.55,3.35,4.5
2,4.5,3.9,3.2,4.5
3,4.2,2.7,1.1,4.5
4,1.4,2.55,1.45,3.0
5,3.1,3.6,2.5,4.0
6,2.65,3.45,2.65,3.5
7,3.2,3.25,4.05,3.5
8,4.1,3.7,4.05,4.0
9,4.35,3.9,4.0,4.0
10,3.85,3.6,3.55,4.0
11,3.0,3.2,3.1,3.5
12,3.95,3.85,4.6,3.5
13,3.5,3.6,2.95,4.1
14,4.6,4.05,3.65,4.6
15,2.3,3.05,1.3,4.1
16,2.9,3.3,2.4,4.1
17,4.0,3.9,2.85,4.6
18,2.9,3.15,2.35,4.1
19,2.7,2.8,1.35,4.1
20,4.45,3.75,3.0,4.6
21,2.8,3.15,2.6,4.1
22,4.0,3.8,2.75,4.1
23,2.95,3.3,2.95,4.1
24,3.7,3.35,3.75,4.1
25,4.3,3.75,4.45,4.6
26,4.3,3.85,3.9,4.1
27,4.25,3.75,3.6,4.1
28,4.6,4.1,3.85,4.1
29,4.45,3.95,4.2,4.1
30,4.3,3.85,4.1,4.1
31,4.45,3.9,3.55,4.1
32,3.6,3.75,3.85,4.1
33,1.75,2.3,1.5,3.6
34,1.55,2.75,2.0,3.1
35,2.0,3.15,1.2,3.6
36,2.35,3.05,2.75,3.6
37,2.35,2.95,3.35,3.6
38,2.25,3.15,2.6,3.1
39,2.3,3.15,3.35,3.1
40,3.5,3.45,3.75,3.6
41,3.9,3.6,4.55,3.6
42,4.3,4.1,4.35,3.6
43,4.05,3.5,4.35,3.6
44,4.2,3.9,2.9,4.2
45,2.65,3.3,3.0,3.7
46,3.05,3.2,2.1,4.2
47,3.05,2.6,1.65,4.2
48,1.0,2.0,1.35,2.7
49,3.0,3.45,1.9,4.2
50,3.4,3.35,3.15,4.2
51,3.4,3.55,1.9,4.2
52,3.4,3.65,2.55,4.2
53,1.85,2.45,1.55,3.7
54,3.4,3.3,2.8,4.2
55,3.4,3.3,2.25,4.2
56,2.3,3.2,2.35,3.7
57,2.65,3.1,2.7,3.7
58,1.75,2.75,1.5,3.2
59,1.5,2.75,1.35,3.2
60,1.35,2.7,1.6,3.2
61,2.6,3.25,2.5,3.7
62,2.05,3.15,2.5,3.2
63,2.2,3.2,2.05,3.7
64,1.65,3.15,1.95,3.7
65,3.9,3.95,4.4,3.7
66,3.95,3.8,3.85,3.7
67,1.95,2.95,2.95,2.7
68,3.85,3.65,3.6,4.2
69,2.8,3.45,4.7,3.2
70,4.35,3.85,4.15,4.2
71,4.2,3.9,3.35,4.2
72,4.25,3.7,3.6,4.8
73,4.2,3.7,3.35,4.8
74,3.75,3.75,2.95,4.3
75,2.9,3.25,2.15,4.3
76,4.7,4.2,3.6,4.8
77,2.75,3.15,1.7,3.8
78,2.85,3.5,2.05,3.8
79,1.2,2.5,2.35,2.8
80,2.85,3.45,2.8,3.8
81,3.45,3.5,3.1,3.8
82,1.25,2.7,2.55,2.8
83,2.55,3.3,1.7,3.8
84,1.7,2.75,1.55,3.3
85,4.05,3.7,1.5,4.3
86,4.45,4.1,3.7,4.3
87,1.6,2.8,2.6,3.3
88,4.4,4.15,4.45,4.3
89,4.1,3.65,3.75,4.3
90,2.75,3.05,3.1,3.3
91,4.05,3.6,3.85,4.3
92,4.3,3.75,3.6,4.3
93,4.3,3.8,3.75,4.3
94,3.25,3.45,3.25,3.3
95,4.5,4.2,4.15,4.3
96,4.6,4.1,4.3,4.3
97,2.1,2.1,2.3,3.9
98,2.4,3.05,1.7,3.9
99,2.7,3.3,2.8,3.9
100,2.0,2.75,2.0,3.4
101,1.35,2.2,1.5,2.9
102,3.15,3.3,2.55,3.9
103,2.5,2.85,1.25,3.4
104,1.7,2.9,1.95,3.4
105,2.45,2.95,1.4,3.9
106,2.35,3.25,2.45,3.4
107,1.05,2.3,1.85,2.9
108,2.35,3.2,2.55,3.9
109,3.45,3.55,2.9,3.9
110,2.6,3.3,2.8,3.9
111,2.5,3.0,3.45,3.4
112,3.25,3.45,4.15,2.9
113,2.6,3.35,4.05,2.9
114,3.45,3.55,3.95,3.4
115,2.6,3.2,3.8,2.9
116,3.35,3.4,3.9,3.4
117,3.95,3.65,3.85,3.9
118,3.8,3.6,3.2,3.9
119,4.05,3.6,4.55,3.4
120,3.65,3.55,3.75,3.4
121,4.35,3.55,3.4,3.9
122,4.3,3.7,4.3,3.9
123,3.2,3.15,3.0,4.4
124,3.25,3.35,2.75,4.4
125,3.3,3.35,1.75,4.4
126,4.05,3.7,2.55,4.4
127,3.0,3.0,3.0,4.4
128,4.5,3.9,3.75,4.4
129,4.55,4.0,4.25,4.4
130,4.05,3.65,2.95,4.5
131,2.6,3.35,2.8,4.0
132,3.65,3.5,2.35,4.5
133,1.8,2.15,0.65,3.5
134,3.65,3.6,1.65,4.5
135,1.15,2.6,1.55,3.0
136,1.25,2.45,2.1,3.0
137,3.75,3.55,2.9,4.0
138,4.15,3.6,2.5,4.5
139,1.25,2.7,1.8,3.0
140,4.5,4.3,4.7,4.5
141,3.9,3.7,3.35,4.0
142,4.1,3.6,4.15,3.5
143,3.9,3.7,4.45,3.5
144,4.05,3.9,4.5,3.5
145,3.15,3.35,3.4,3.5
